违法网站域名（10182个）,,,,,,,,
序号,网站名称,URL,网站IP地址,类别,,,,
2602,长沙办证,http://www.0731bzj.com,27.122.13.171,假证,,,,
2603,长沙办证,http://csbzf.com,112.213.119.252,假证,,,,
2604,长沙办假证,http://www.wch1228.com,74.126.179.26,假证,,,,
2605,长江证件公司,http://www.cjzj168.com,174.36.131.201,假证,,,,
2606,长江证件公司,http://cjzj168.com,174.36.131.201,假证,,,,
2607,长春办证,http://www.syypo.com,173.231.35.151,假证,,,,
2608,长春办证,http://www.cchybz.com,27.50.134.174,假证,,,,
2609,长春办证,http://www.cchunvip.com,174.139.109.76,假证,,,,
2610,长春办证,http://www.ccbz189.com,111.92.232.170,假证,,,,
2611,长春办证,http://www.bzchangchun.com,184.105.241.205,假证,,,,
2612,长春办证,http://www.bzcc12.com,98.126.80.11,假证,,,,
2613,长春办证,http://www.bz9158.com,96.46.3.142,假证,,,,
2614,长春办证,http://www.banzheng100.com,74.82.166.215,假证,,,,
2615,长春办证,http://www.168bzkz.com,174.139.113.107,假证,,,,
2616,长春办证,http://pets4.in,174.139.80.115,假证,,,,
2617,产物建造网,http://www.uy-cw.com,195.59.115.40,假证,,,,
2618,彩虹办证商务有限公司,http://www.bzsw666.com,97.74.177.135,假证,,,,
2619,博远学历教育机构,http://www.byjygw.com,173.254.208.242,假证,,,,
2620,博远学历教育机构,http://www.byjyedu.com,184.168.192.30,假证,,,,
2621,博远教育网,http://www.xueliwenping.com,72.167.232.176,假证,,,,
2622,博远教育网,http://www.xiangqinji.org,216.24.204.216,假证,,,,
2623,博远教育网,http://www.jiayou1.org,173.224.211.170,假证,,,,
2624,博远教育服务中心,http://www.bwp888.net,97.74.177.135,假证,,,,
2625,博远教育,http://wp126.com,174.139.113.101,假证,,,,
2626,博雅教育机构,http://www.poudcnm.co.cc,112.175.243.22,假证,,,,
2627,博文职业教育服务,http://www.bowengjy.com,74.82.184.107,假证,,,,
2628,博通教育服务中心,http://www.bot123.com,74.82.173.7,假证,,,,
2629,博仕文凭网,http://www.bcertificate.com,96.44.177.46,假证,,,,
2630,博润教育中心,http://www.borunjyzx.com,98.126.228.131,假证,,,,
2631,博鹏教育网,http://www.bopengedu.com,173.201.82.175,假证,,,,
2632,博大精深,http://www.zhshuw.com,204.74.217.51,假证,,,,
2633,博才教育机构,http://www.us9ff920-0.freeddns.com,204.16.173.22,假证,,,,
2634,博爱教育,http://www.bajy5553.com,113.10.131.2,假证,,,,
2635,毕业证学历查询专家,http://www.taotongming.com,182.237.1.242,假证,,,,
2636,毕业证丢了怎么办,http://www.80byz.com,173.252.203.251,假证,,,,
2637,毕业证办理,http://www.zhenxueli.com,96.46.3.75,假证,,,,
2638,本中心办学士学位证,http://www.banzhengnb.com,174.139.113.108,假证,,,,
2639,北京中强毕业证代办有限公司,http://www.beijingbanbiyezheng.com,180.178.56.106,假证,,,,
2640,北京运程刻章办证公司,http://www.bjbanzheng8.com,174.36.159.40,假证,,,,
2641,北京苑自博,http://www.maiwenping.com,74.91.29.244,假证,,,,
2642,北京迅达建造师注册认证教育网,http://www.xdzcrzfw.com,218.103.85.232,假证,,,,
2643,北京泰祺建设工程教育网,http://www.bjtqgcjy.com,218.103.85.232,假证,,,,
2644,北京顺风办证有限公司,http://www.sfbanzhengk.com,204.74.212.188,假证,,,,
2645,北京上海办雅思成绩单,http://www.cjbz168.com,204.16.194.113,假证,,,,
2646,北京枪手代考网,http://www.dingjiandk.com,98.126.93.162,假证,,,,
2647,北京明园大学教育网,http://www.adflatrate.com,182.16.2.18,假证,,,,
2648,北京明园大学教育网,http://www.5thdaymusic.com,182.16.5.44,假证,,,,
2649,北京刻章办证网,http://www.bjkz010.com,66.212.29.138,假证,,,,
2650,北京刻章办证网,http://bjbz010.com,67.228.200.128,假证,,,,
2651,北京刻章办证公司,http://bjkz010.com,66.212.29.138,假证,,,,
2652,北京刻章办证,http://ypb39.com,72.11.151.228,假证,,,,
2653,北京刻章办证,http://bjkz.info,72.11.151.85,假证,,,,
2654,北京刻章,http://www.kezhang19.com,174.127.89.85,假证,,,,
2655,北京刻章,http://www.banjian010.com,96.44.141.198,假证,,,,
2656,北京华通国际证件代办集团,http://www.htgjzj.net,203.186.195.49,假证,,,,
2657,北京代考网,http://www.hongmengks.com,203.186.195.49,假证,,,,
2658,北京代办证件,http://www.cfdbzj1688.com,174.139.8.212,假证,,,,
2659,北京大众办证公司,http://www.bjxlzj.com,174.139.240.4,假证,,,,
2660,北京博远教育,http://banzheng2000.com,74.82.173.8,假证,,,,
2661,北京办证信息服务有限公司,http://www.banzheng555.com,66.212.29.197,假证,,,,
2662,北京办证件集团,http://www.168banz.com,174.139.2.29,假证,,,,
2663,北京办证公司,http://www.ziyandl.com,96.46.4.26,假证,,,,
2664,北京办证,http://www.e7edu.info,50.6.183.246,假证,,,,
2665,北京办证,http://mlszjgs.com,66.90.78.29,假证,,,,
2666,北京办证,http://huaxiaxl.com,173.224.216.189,假证,,,,
2667,北京办证,http://cxbzjjt.info,74.91.29.243,假证,,,,
2668,北京办文凭,http://www.bmwpj.com,76.163.103.53,假证,,,,
2669,北京办毕业证公司,http://www.swjmedu.com,64.79.72.202,假证,,,,
2670,北方证件网,http://www.xyz988.com,70.39.86.136,假证,,,,
2671,北方教育培训网,http://www.bzzx168.com,174.139.128.4,假证,,,,
2672,北大教育服务中心,http://www.beidajy.com,74.82.173.7,假证,,,,
2673,保真办证网,http://www.bzbzw.com,184.168.187.59,假证,,,,
2674,办资格证,http://www.changchengjy.com,173.252.198.85,假证,,,,
2675,办证资格网,http://www.zjkmaps.com,208.77.40.39,假证,,,,
2676,办证我帮您,http://www.gzbz580.com,204.13.66.229,假证,,,,
2677,办证网,http://www.szlhua.com,184.168.201.217,假证,,,,
2678,办证网,http://www.shbzw188.com,97.74.177.135,假证,,,,
2679,办证淘宝交易付款,http://chaxun138.com,72.18.201.7,假证,,,,
2680,办证淘宝,http://bzs163.com,72.18.201.7,假证,,,,
2681,办证刻章服务中心,http://tuiguangjy168.com,74.82.173.10,假证,,,,
2682,办证服务网,http://www.zjw100.com,49.247.252.72,假证,,,,
2683,办证服务网,http://www.bzfw123.com,74.82.173.5,假证,,,,
2684,办证，办证书，www.vvvv7.com,http://www.vvvv7.com,174.139.80.235,假证,,,,
2685,办证，办证书，www.m165.com,http://www.mt65.com,98.126.62.106,假证,,,,
2686,办证,http://www.bz1898.com,69.41.228.25,假证,,,,
2687,办证,http://www.bz018.com,72.18.195.161,假证,,,,
2688,办真学历,http://www.qvbyu.com,50.6.28.150,假证,,,,
2689,办真文凭,http://51shbzkz.com,205.209.177.230,假证,,,,
2690,办真毕业证,http://www.9xueli.com,182.237.0.100,假证,,,,
2691,办真毕业证,http://www.kyjyedu.com,216.24.200.237,假证,,,,
2692,办真毕业证,http://chuahao.com,173.236.155.228,假证,,,,
2693,办英语四级证,http://www.swwp666.com,173.252.195.181,假证,,,,
2694,办一级建造师,http://www.bbyz188.com,173.252.195.189,假证,,,,
2695,办学位证,http://bkxlw.com,173.201.204.46,假证,,,,
2696,办学生证,http://www.ccropp.net,123.254.104.195,假证,,,,
2697,办文凭诚信办毕业证与办文凭,http://www.gyjy88.com,72.167.232.176,假证,,,,
2698,办文凭,http://www.yangyu168.com,74.82.173.10,假证,,,,
2699,办文凭,http://www.tch666.com,74.82.160.28,假证,,,,
2700,办文凭,http://www.liasdaqqwq.org,96.44.179.26,假证,,,,
2701,办文凭,http://www.jdjy123.com,204.74.223.62,假证,,,,
2702,办文凭,http://www.chengxedu.com,205.209.137.69,假证,,,,
2703,办文凭,http://www.bwp123.com,64.191.124.110,假证,,,,
2704,办外国文凭,http://banwaiguowenping.okw.me,69.6.219.146,假证,,,,
2705,办理真文凭,http://www.jiayou98.com,173.236.234.228,假证,,,,
2706,办理真实文凭,http://www.bwenping.com,96.46.2.238,假证,,,,
2707,办理真实文凭,http://www.blzswp.com,97.74.215.148,假证,,,,
2708,办理英语四六级成绩单,http://www.fhzj168.com,112.121.166.42,假证,,,,
2709,办理医师资格证,http://www.8-88888.com,50.6.129.129,假证,,,,
2710,办理一级建造师,http://www.quanmingjy.com,173.252.198.85,假证,,,,
2711,办理学位证,http://www.bzj006.com,97.74.177.135,假证,,,,
2712,办理学历文凭,http://www.chaokewp.com,174.139.75.172,假证,,,,
2713,办理学历,http://www.ttydr.com,174.37.146.121,假证,,,,
2714,办理学历,http://www.yxxl518.com,74.82.173.5,假证,,,,
2715,办理文凭网,http://www.fangchina.net,205.209.184.250,假证,,,,
2716,办理文凭,http://www.cxwp988.com,67.198.244.3,假证,,,,
2717,办理文凭,http://www.78wp.com,96.44.170.116,假证,,,,
2718,办理外国文凭,http://www.banliwaiguowenping.okw.me,69.6.219.146,假证,,,,
2719,办理民办大学文凭,http://www.foodep.com,173.236.235.5,假证,,,,
2720,办理建造师,http://www.kaiyuejy.com,74.82.170.115,假证,,,,
2721,办理假文凭服务中心,http://bbyz666.com,97.74.177.135,假证,,,,
2722,办理国外文凭,http://www.gwwp001.com,174.139.67.67,假证,,,,
2723,办理高中毕业证,http://www.bzkz888.com,97.74.177.135,假证,,,,
2724,办理大专文凭,http://www.wenping1.com,173.236.193.173,假证,,,,
2725,办理毕业证,http://www.minban-edu.org,98.126.250.156,假证,,,,
2726,办理毕业证,http://mbzedu.com,205.196.214.96,假证,,,,
2727,办理毕业证,http://jiaoedu.com,205.196.214.96,假证,,,,
2728,办理毕业,http://www.shmingjian.com,173.231.11.84,假证,,,,
2729,办理北京地区大学毕业证,http://www.cxbzw.org,112.121.186.242,假证,,,,
2730,办江西南昌理工大学证件,http://zjzslt.com,59.188.196.142,假证,,,,
2731,办建造师,http://www.huanyjy.com,173.252.198.85,假证,,,,
2732,办假证书,http://www.bzw889.com,97.74.177.135,假证,,,,
2733,办假证假证公司,http://dnyzj.888t8.net,205.209.140.110,假证,,,,
2734,办大专毕业证,http://ajwawa.cn,208.77.40.43,假证,,,,
2735,办大学文凭,http://www.wpzx2010.com,72.167.232.176,假证,,,,
2736,办毕业证,http://xmhusou.cn,174.139.83.170,假证,,,,
2737,办毕业证,http://www.xmhusou.cn,174.139.83.170,假证,,,,
2738,办毕业证,http://www.bzbj8.com,98.126.198.219,假证,,,,
2739,百姓教育,http://www.bxjy98.com,173.252.198.89,假证,,,,
2740,百世德教育培训中心,http://www.szbstedu.com,205.209.137.65,假证,,,,
2741,百世德教育培训中心,http://www.bsdjyw.com,74.82.174.247,假证,,,,
2742,百盟教育培训服务中心,http://www.baimeng123.com,74.82.173.7,假证,,,,
2743,百科教育,http://www.baike08.com,173.231.11.82,假证,,,,
2744,八一教育文凭服务中心,http://www.81jywp.com,204.74.222.10,假证,,,,
2745,八九办证集团,http://bjzjw.info,97.74.50.91,假证,,,,
2746,八九办证博客,http://bjzjw.net,184.168.216.108,假证,,,,
2747,澳洲学历网,http://degree5.net,173.201.121.110,假证,,,,
2748,澳大利亚生活资讯互助网,http://wellstay.com,66.147.240.154,假证,,,,
2749,奥艺文凭办理中心,http://www.84898.cn,98.126.133.203,假证,,,,
2750,奥鹏教育,http://www.aopengedu.com,173.252.252.80,假证,,,,
2751,奥鹏教育,http://www.apjyedu.com,58.64.142.166,假证,,,,
2752,奥美证件,http://aomeizj.com,74.82.169.19,假证,,,,
2753,奥美官方,http://www.aomeizj.com,74.82.169.19,假证,,,,
2754,傲诚教育学历服务中心,http://www.ac155.com,184.168.151.183,假证,,,,
2755,翱翔学历教育,http://www.aoxiangxuelijiaoyu.com,98.126.36.218,假证,,,,
2756,安康办证,http://akbyz.com,114.108.150.38,假证,,,,
2757,安博教育,http://www.fafahome.com,184.168.151.183,假证,,,,
2758,爱华代考服务中心,http://www.wtm888.com,205.209.155.64,假证,,,,
2759,阿勒泰办证,http://www.hybzkz.com,70.39.115.82,假证,,,,
2760,阿克苏办证,http://www.kdbzkz.com,173.254.205.252,假证,,,,
2761,ztmnem.com,http://www.ztmnem.com,76.73.73.62,假证,,,,
2762,Welcome,http://crancssa.org,188.121.46.1,假证,,,,
2763,TXT小说下载-百酷小说论坛,http://www.byeku.com,69.89.31.83,假证,,,,
2764,shwp138,http://www.shwp138.com,205.209.184.59,假证,,,,
2765,QQ代办文凭证件,http://qqwp.net,96.46.2.47,假证,,,,
2766,QQ办证,http://qqbz.org,67.220.206.214,假证,,,,
2767,OrangIslam.Com,http://orangislam.com,122.155.0.91,假证,,,,
2768,NO.1代办中心,http://bz0001.com,49.247.252.194,假证,,,,
2769,My,http://www.1xwd.com,174.128.247.138,假证,,,,
2770,KU-MALL,http://sydhot.com,74.208.229.246,假证,,,,
2771,HZBZ88.COM,http://www.hzbz88.com,174.139.93.148,假证,,,,
2772,bzz8网,http://www.bzz8.com,180.178.37.51,假证,,,,
2773,7080学历文凭网,http://www.7080xlwp.com,74.82.173.10,假证,,,,
2774,51hui,http://suzhou.51hui.com,69.163.200.41,假证,,,,
2775,25医师教育网,http://www.ul-25.com,64.202.189.170,假证,,,,
2776,126小说下载网,http://www.itxty.com,173.236.234.226,假证,,,,
2777,北京卓越刻章办证,http://zykzbz.com,112.121.178.101,假证,,,,
2778,兰州网上办证,http://zybzheng.com,72.52.119.243,假证,,,,
2779,郑州办证,http://zjzj1588.com,72.18.192.9,假证,,,,
2780,兰州办证,http://zhyedv.com,182.237.3.173,假证,,,,
2781,智慧教育文凭网,http://zhihuiwp.com,74.82.173.7,假证,,,,
2782,成都办证,http://zhifu123.org,50.6.165.199,假证,,,,
2783,专业办证,http://zhenshiwenpin.banwenpin.com,184.168.197.56,假证,,,,
2784,办证吧,http://zhengzhoubanzheng.info,173.83.44.12,假证,,,,
2785,上海办证,http://zgbz668.com,183.90.187.181,假证,,,,
2786,易达培训服务机构服务中心,http://ydjyedu.com,174.37.171.142,假证,,,,
2787,宜昌办证,http://ycbz88.com,210.56.58.174,假证,,,,
2788,专业诚信办毕业证,http://xiabw.com,96.44.169.231,假证,,,,
2789,西安办证,http://xabz2011.com,72.167.232.176,假证,,,,
2790,西安中天证件公司,http://xabz114.com,66.90.74.187,假证,,,,
2791,西安办证,http://xabz0.com,96.44.141.13,假证,,,,
2792,上海办证,http://wybbyz.net,184.168.220.11,假证,,,,
2793,杭州办证,http://www.zzxxly.net,174.139.143.12,假证,,,,
2794,郑州办证,http://www.zzbanzheng.net,204.16.196.174,假证,,,,
2795,哈尔滨办证件,http://www.zykz168.com,66.160.134.181,假证,,,,
2796,黑龙江办证,http://www.zt580.com,174.36.84.186,假证,,,,
2797,鹏程（中国）办证服务,http://www.zpcbz.com,183.90.189.31,假证,,,,
2798,郑州办证,http://www.zjzj1588.com,72.18.192.9,假证,,,,
2799,阳达阁公司,http://www.zjjt688.com,97.74.177.135,假证,,,,
2800,中国证件网,http://www.zj5156.org,208.98.17.105,假证,,,,
2801,潍坊办证,http://www.zib88.com,112.121.186.45,假证,,,,
2802,广州办证,http://www.zhusanjiaobz.cn,174.139.74.37,假证,,,,
2803,南京办证,http://www.zgbz1770.com,49.247.252.59,假证,,,,
2804,北京办证,http://www.zczongzy.com,184.22.79.163,假证,,,,
2805,中国证件公司,http://www.zcbwp.com,173.201.204.46,假证,,,,
2806,远程教育培训机构,http://www.yuanchengjy.com,204.13.65.42,假证,,,,
2807,易通专业代考机构,http://www.ytdkkf.com,174.139.24.11,假证,,,,
2808,北京刻章办证,http://www.ypb39.com,208.43.168.16,假证,,,,
2809,友信学历教育,http://www.youxin123.com,74.82.173.7,假证,,,,
2810,深圳办证,http://www.ylbzw.com,173.254.198.241,假证,,,,
2811,营口办证,http://www.ykbz168.com,174.139.74.36,假证,,,,
2812,宁波办证,http://www.ycfllm.cn,70.39.86.135,假证,,,,
2813,宜昌办证,http://www.ycbz88.com,210.56.58.174,假证,,,,
2814,立鼎办证,http://www.xxbzw.com,64.78.163.204,假证,,,,
2815,办理大学文凭,http://www.xx3y.com,98.126.58.242,假证,,,,
2816,沈阳办证,http://www.xueli666.com,173.252.198.88,假证,,,,
2817,办证,http://www.xue8888.com,97.74.215.199,假证,,,,
2818,湘潭办证,http://www.xtbzkz.com,67.21.91.116,假证,,,,
2819,南京小神童办证,http://www.xstdsb.com,97.74.215.155,假证,,,,
2820,厦门办证,http://www.xmbz001.com,115.68.76.19,假证,,,,
2821,上海办证,http://www.xlzsol.com,173.236.149.208,假证,,,,
2822,南昌办证,http://www.xlbz888.com,173.252.203.245,假证,,,,
2823,新疆办证,http://www.xjbzkz188.com,204.74.217.216,假证,,,,
2824,郑州办证,http://www.xinlijia.com,173.236.38.138,假证,,,,
2825,全国上网文凭,http://www.xinhejyw.com,49.247.252.51,假证,,,,
2826,西安办证,http://www.xianbzw.com,58.64.154.253,假证,,,,
2827,西安办证,http://www.xianbzj.com,204.12.220.202,假证,,,,
2828,西安办证,http://www.xianbz123.com,98.126.108.92,假证,,,,
2829,兴达证件有限公司,http://www.xdzjw168.net,184.168.192.37,假证,,,,
2830,绵阳办证,http://www.xcounx.com,72.167.232.176,假证,,,,
2831,新潮流青岛办证,http://www.xclbz.com,74.82.177.142,假证,,,,
2832,西安代办证件,http://www.xazj1688.com,72.18.192.9,假证,,,,
2833,西安办证,http://www.xazj001.com,72.167.232.176,假证,,,,
2834,西安办证,http://www.xa-cxzj.com,173.83.142.2,假证,,,,
2835,西安办证,http://www.xabz6.com,66.212.29.115,假证,,,,
2836,西安办证,http://www.xabz365.com,72.11.151.67,假证,,,,
2837,西安办证,http://www.xabz18.com,50.23.154.171,假证,,,,
2838,上海办证,http://www.wybbyz.net,184.168.220.11,假证,,,,
2839,北京办证网,http://www.wuyics.com,174.139.229.132,假证,,,,
2840,郑州办证,http://www.wsbzkz.com,67.159.4.44,假证,,,,
2841,诚信办证,http://www.wpbyz168.com,216.24.202.198,假证,,,,
2842,华诚教育中心,http://www.wp966.com,96.44.141.147,假证,,,,
2843,郑州办证,http://www.wmbzw.com,173.254.198.239,假证,,,,
2844,乌鲁木齐办证,http://www.wlmqwp.com,112.121.189.51,假证,,,,
2845,乌鲁木齐办证,http://www.wlmqbzkz.com,61.209.253.9,假证,,,,
2846,网络办证,http://www.wlban.com,69.175.103.120,假证,,,,
2847,武汉办证,http://www.whbzheng.com,96.46.7.4,假证,,,,
2848,南京办证,http://www.whbz8883.com,174.139.12.139,假证,,,,
2849,南京办证,http://www.whbz5.com,74.82.182.29,假证,,,,
2850,武汉诚信办证有限公司,http://www.whbz1.com,184.168.192.23,假证,,,,
2851,武汉办证,http://www.wh379.com,49.247.252.69,假证,,,,
2852,沈阳办证,http://www.wenpingxueli.com,74.82.166.215,假证,,,,
2853,学历服务网,http://www.wenping3.com,69.195.102.85,假证,,,,
2854,西安办证,http://www.wellbanzheng.com,173.236.209.191,假证,,,,
2855,民办招生信息资讯网,http://www.vj77.cn,184.105.170.121,假证,,,,
2856,钦州办证网,http://www.ukts.cn,174.139.83.174,假证,,,,
2857,西安办证,http://www.u88wang88.cn,173.252.207.222,假证,,,,
2858,太原办证,http://www.tybzkz.com,204.74.221.107,假证,,,,
2859,太原办证,http://www.tybz518.com,72.167.232.176,假证,,,,
2860,唐山办证,http://www.tsbzw.com,96.46.8.58,假证,,,,
2861,长沙鸿星证件公司,http://www.troupr.com,97.74.144.93,假证,,,,
2862,太平洋证件,http://www.tpyfwgs.com,208.43.179.213,假证,,,,
2863,长春办证刻章件资讯有限公司,http://www.toliant.com.cn,173.236.38.138,假证,,,,
2864,昌吉办证,http://www.tkbzkz.com,96.46.7.4,假证,,,,
2865,天津办证,http://www.tjyinzuan.com,216.104.40.250,假证,,,,
2866,天津办证,http://www.tjhyzj.com,64.71.166.130,假证,,,,
2867,天津办证,http://www.tjbzer.com,66.212.29.153,假证,,,,
2868,天津办假证,http://www.tjbz518.com,173.252.203.245,假证,,,,
2869,天津办证,http://www.tjbanzheng01.com,96.44.169.238,假证,,,,
2870,天津办证,http://www.tianjinbzw.com,173.201.119.124,假证,,,,
2871,天津诚信办证,http://www.tianjinbz01.com,173.83.139.35,假证,,,,
2872,天诚证件网,http://www.tcbz168.com,97.74.50.160,假证,,,,
2873,福州办证,http://www.taiyuanz.com,173.224.216.122,假证,,,,
2874,深圳办证集团,http://www.szzjjt.com,184.168.144.130,假证,,,,
2875,深圳办证,http://www.szgzbz.com,182.16.3.164,假证,,,,
2876,上海办证,http://www.szchzj2011.com,58.64.142.67,假证,,,,
2877,办假毕业证多少钱集团,http://www.szbztj.com,72.167.232.176,假证,,,,
2878,天津办证网,http://www.szbzheng.com,96.46.7.6,假证,,,,
2879,东南亚证件公司,http://www.szbzc.com,184.168.201.217,假证,,,,
2880,苏州办证,http://www.szbz6.com,98.126.19.2,假证,,,,
2881,深圳办证,http://www.szbz.net,174.139.3.204,假证,,,,
2882,沈阳办证,http://www.sybzw1688.com,72.167.232.176,假证,,,,
2883,沈阳办证,http://www.sybzheng.com,174.139.9.250,假证,,,,
2884,沈阳办证,http://www.sybz158.com,180.178.57.245,假证,,,,
2885,沈阳办证,http://www.syangbanzhengw.com,67.228.200.14,假证,,,,
2886,苏州办证,http://www.suzhouzz.com,173.224.217.236,假证,,,,
2887,苏州飞翔刻章公司,http://www.suzhoukz.com,216.24.197.249,假证,,,,
2888,苏州办证,http://www.suzhoubz1688.com,113.10.187.4,假证,,,,
2889,苏州办证,http://www.suzhou88.com,98.126.240.180,假证,,,,
2890,福州刻章,http://www.sjzjo.com,216.24.194.100,假证,,,,
2891,石家庄办证,http://www.sjzcxbz1688.com,72.167.232.176,假证,,,,
2892,石家庄办证,http://www.sjzbz558.com,180.178.57.246,假证,,,,
2893,石家庄办证,http://www.sjzbanzheng.net,96.46.4.28,假证,,,,
2894,石家庄办证,http://www.sjz2100.com,96.46.4.26,假证,,,,
2895,闵行办证,http://www.shzqfwgs.com,98.126.102.172,假证,,,,
2896,上海闵行办证,http://www.shmhbz998.com,67.159.32.205,假证,,,,
2897,深圳办证,http://www.shenzhenbanzheng.net,74.82.173.8,假证,,,,
2898,沈阳办证,http://www.shenyangz.com,173.224.219.156,假证,,,,
2899,上海办证,http://www.shdny168.com,184.168.192.14,假证,,,,
2900,石家庄办证,http://www.shbzgs.cn,74.82.182.10,假证,,,,
2901,上海办证,http://www.shbz158.cn,180.178.45.74,假证,,,,
2902,内蒙古办证,http://www.shbs168.com,98.126.55.122,假证,,,,
2903,上海办证网,http://www.shanghaibz.name,74.82.164.183,假证,,,,
2904,杭州办证,http://www.sdyhmy.com,98.126.89.227,假证,,,,
2905,滨州办证,http://www.sdbz888.com,98.126.55.44,假证,,,,
2906,淄博办证,http://www.sdbz88.com,98.126.67.92,假证,,,,
2907,顺达证件集团公司,http://www.sdbz666.com,97.74.177.135,假证,,,,
2908,石家庄办证公司,http://www.rlgj.com,98.126.69.122,假证,,,,
2909,天津鸿运办证公司,http://www.rj588.com,173.236.38.138,假证,,,,
2910,乌鲁木齐市办证,http://www.qxzjbl.com,173.201.223.141,假证,,,,
2911,中国诚信办证教育信息网,http://www.qqrsw.com,72.18.195.163,假证,,,,
2912,济南办证,http://www.qnzj886.com,173.252.203.246,假证,,,,
2913,顺通青岛办证公司,http://www.qingdaobz8.com,173.244.202.236,假证,,,,
2914,青岛办证,http://www.qdbz123.com,112.121.178.210,假证,,,,
2915,前程文凭学历服务中心,http://www.qchwp.com,74.82.173.7,假证,,,,
2916,万籁办证,http://www.qcdaohang.com,50.6.93.179,假证,,,,
2917,北京办证,http://www.piaolzjw.com,184.22.79.178,假证,,,,
2918,益阳代考网,http://www.pctkw.com,206.217.200.18,假证,,,,
2919,办四级证书,http://www.pa91.com,173.236.224.229,假证,,,,
2920,杭州办证,http://www.okeylove.com,67.159.56.213,假证,,,,
2921,办英语四级证,http://www.obz188.com,97.74.177.135,假证,,,,
2922,大连办证,http://www.observerz.info,97.74.215.77,假证,,,,
2923,福州诺鑫办证有限公司,http://www.nuoxinbidding.com,173.236.38.138,假证,,,,
2924,广州办证,http://www.nn666.net,66.90.74.73,假证,,,,
2925,郑州办证,http://www.nmbz.net,174.139.80.235,假证,,,,
2926,南京办证,http://www.njzj16888.com,72.18.192.9,假证,,,,
2927,兰州办证,http://www.njyepu.cn,112.121.186.43,假证,,,,
2928,中山办证刻章公司,http://www.nfkzbz68.com,46.21.158.8,假证,,,,
2929,浦东办证,http://www.nfbz168.com,204.16.194.113,假证,,,,
2930,南宁办证网,http://www.nanningbzw.com,76.163.24.147,假证,,,,
2931,南京办证,http://www.nanjingkezhang.com,96.44.169.21,假证,,,,
2932,南京办证,http://www.nanjingbanzheng.net,96.46.6.235,假证,,,,
2933,南昌办证,http://www.nanchangzj.com,204.45.115.132,假证,,,,
2934,支付宝办证,http://www.mycet46.com,204.13.66.229,假证,,,,
2935,网上办证,http://www.mocso123.cn,69.162.100.184,假证,,,,
2936,闵行办证,http://www.minhangzj.org,67.228.114.96,假证,,,,
2937,兰州办证,http://www.lzbj188.com,174.139.68.28,假证,,,,
2938,杭州办证,http://www.lxbz688.com,98.126.19.2,假证,,,,
2939,长沙办证,http://www.lxbbg.com,49.247.252.55,假证,,,,
2940,辽宁诚信办证,http://www.lnbz168.com,114.142.153.19,假证,,,,
2941,上海办证,http://www.kwbzkz.com,208.98.50.67,假证,,,,
2942,昆明办证,http://www.kunmingz.com,173.224.216.98,假证,,,,
2943,喀什办证,http://www.ksbzkz.com,96.46.4.28,假证,,,,
2944,哈尔滨办证,http://www.ksbz365.com,49.247.252.148,假证,,,,
2945,昆明办证,http://www.kmnj.org,173.224.216.84,假证,,,,
2946,焦作办证,http://www.kmedx.com,173.252.203.245,假证,,,,
2947,昆明办证,http://www.km368.com,112.121.186.42,假证,,,,
2948,长春办身份证,http://www.klwhcy.com,98.126.229.158,假证,,,,
2949,刻章网,http://www.kezhanghao.com,96.46.5.74,假证,,,,
2950,上海刻章,http://www.kezhang8.com,174.127.88.232,假证,,,,
2951,成都办证,http://www.kbz05.com,96.46.4.141,假证,,,,
2952,成都办证,http://www.kbz02.com,96.46.4.141,假证,,,,
2953,成都办证,http://www.kbz01.com,96.46.4.141,假证,,,,
2954,烟台办证,http://www.kaixin006.info,49.247.252.169,假证,,,,
2955,诚信办证,http://www.jyzj88.net,184.168.192.37,假证,,,,
2956,亿达办证公司,http://www.jyd88.cn,96.0.180.2,假证,,,,
2957,佳信证件代理有限公司,http://www.jxzjdl.com,184.168.192.37,假证,,,,
2958,招生信息网,http://www.jueren5.com,204.16.196.165,假证,,,,
2959,济南办证,http://www.jnbzsu518.com,72.167.232.176,假证,,,,
2960,济南办证,http://www.jnbzj188.com,174.36.177.120,假证,,,,
2961,济南办证,http://www.jnbz8888.com,174.139.84.163,假证,,,,
2962,吉林市办证,http://www.jlsbanz.com,113.10.186.14,假证,,,,
2963,上海办证,http://www.jintail.com,61.209.253.9,假证,,,,
2964,哈尔滨办证中心,http://www.jinbiao198484.com,173.224.218.141,假证,,,,
2965,济南办证,http://www.jinanbz001.com,173.252.195.172,假证,,,,
2966,南昌办证,http://www.jinan518.com,72.41.161.27,假证,,,,
2967,办文凭,http://www.jiaoyu007.com,69.195.102.85,假证,,,,
2968,无锡办证,http://www.jcbz888.com,210.245.215.74,假证,,,,
2969,宁波办证,http://www.jasonzeng.com,97.74.215.112,假证,,,,
2970,域名注册,http://www.info,173.201.216.38,假证,,,,
2971,广州办证,http://www.iebz.net,98.126.5.242,假证,,,,
2972,诚信办证网,http://www.hzcxbz88.com,49.247.252.22,假证,,,,
2973,中智教育,http://www.hzciic.net,174.139.26.37,假证,,,,
2974,杭州办证,http://www.hzbz999.com,184.105.241.205,假证,,,,
2975,青岛办证,http://www.hzbz2518.com,173.252.203.247,假证,,,,
2976,杭州办证,http://www.hzbz-18.com,173.254.208.231,假证,,,,
