附件3:违法信息关键词（960组）,,
序号,违法有害信息关键词,信息类别
814,"南韩 ""出售假币""",假币
815,"""热敷敏纸""",假币
816,"""大量出售"" 假钞",假币
817,"""批发最新台湾D版""",假币
818,"包消费 包赌博",假币
819,"""批发假钞"" qq",假币
820,"""钢芯镀镍"" 高仿真",假币
821,"""一元硬币"" 高仿真",假币
822,专业经销假钞,假币
823,"零风险 小投资 有胆量",假币
824,"银行存取 真硬币",假币
825,"""一元硬币"" ""游戏机上分"" ",假币
826,"""原料为医用涤棉""",假币
827,"""假币出售"" 假钱",假币
828,"""百元假钞"" 销售",假币
829,"""假钞特征码""",假币
830,哪里可以买到假币,假币
831,"假钞 ""凹凸质感""",假币
832,"批发假硬币 qq",假币
833,"一元假硬币 qq",假币
834,"出售假钱 ""过机版""",假币
835,哪里卖假钞,假币
836,常年出售假币,假币
837,去哪里买假钞,假币
838,"假钱 热敷敏纸",假币
839,"""仿伪都和真币一样""",假币
840,"出售假币 变色油墨",假币
841,高仿真假钞出售,假币
842,"销售假币 广州",假币
843,"批发假钞 上海",假币
844,"假钱出售 北京",假币
845,"""蓝色纤维纸浆""",假币
846,"一元硬币 最新版本 钢芯镀镍",假币
847,"假钞 迷奸药",假币
848,"假钞 一元硬币",假币
849,"一元硬币 ""仿真度超过HD90版""",假币
850,"假钱 货到付款",假币
851,出售假人民币100,假币
852,"磁性油墨 凹凸版印刷",假币
853,"台湾版伪钞 最新D版",假币
854,"出售一元硬币 ""版本为最新版本"" ",假币
855,"100元假钞 货到付款",假币
856,"买卖假钱 假钞",假币
857,"高仿假币 出售假币",假币
858,"出售假钞 假钱 硬币",假币
859,"出售假钱电 人民币",假币
860,"假币 ""视频看货""",假币
861,"一元假钱出售 货到付款",假币
862,"买卖 批发假币",假币
863,"一元硬币 ""版本为最新版本""",假币
864,"最新版假钞 假人民币",假币
865,"一元假硬币 货到付款",假币
866,"出售假币假钞QQ 假硬币",假币
867,"批发假币 出售假钞",假币
868,"假币销售 高仿真",假币
869,出售高仿真假钞,假币
870,出售台湾版高仿真假钞,假币
871,出售朝鲜版高仿真假钞,假币
872,假钱批发,假币
873,批发一元硬币,假币
874,出售假.钞,假币
875,假币(台湾最新版),假币
876,出售假币.假钱,假币
877,假币代理,假币
878,供应假幣,假币
879,哪里有假钱出售,假币
880,假币批发,假币
881,出售高仿纸币,假币
882,哪里能买到假币,假币
883,卖钱QQ,假币
884,北京出售假钱,假币
885,天津出售假钱,假币
886,"出售假 BI",假币
887,真钱买假钱,假币
888,硬币供应,假币
889,出售过机假币,假币
890,出售JIA币,假币
891,"出售热缚纸 假",假币
892,哪里能买到假钱,假币
893,假钱QQ,假币
894,批发假钱QQ,假币
895,批发假硬币QQ,假币
896,卖钱联系,假币
897,过机版人民币,假币
898,出售一元人民币,假币
899,"出售 假币公司",假币
900,台湾版假币QQ,假币
901,假硬币QQ,假币
902,买假钱联系,假币
903,销售一元人民币,假币
904,出售C1E假币,假币
905,C1E假币QQ,假币
906,假钞存进ATM机,假币
907,假钱=假币,假币
908,新版假币销售,假币
909,包过验钞假钞,假币
910,假钱价格,假币
911,重庆假币出售,假币
912,买卖台湾版假人民币,假币
913,台湾版假人民币出售QQ,假币
914,最新假币出售,假币
915,可过机假钱QQ,假币
916,可过机假钞QQ,假币
917,出售假2钞,假币
918,哪里有出售假钱厂家,假币
919,最新版假幣,假币
920,批发出售假币,假币
921,北京删贴公司,非法网络公关
922,南京删贴公司,非法网络公关
923,上海删贴公司,非法网络公关
924,西安删贴公司,非法网络公关
925,天津删贴公司,非法网络公关
926,深圳删贴公司,非法网络公关
927,广东删贴公司,非法网络公关
928,山西删贴公司,非法网络公关
929,郑州删贴公司,非法网络公关
930,重庆删贴公司,非法网络公关
931,北京负面信息处理,非法网络公关
932,南京负面信息处理,非法网络公关
933,上海负面信息处理,非法网络公关
934,西安负面信息处理,非法网络公关
935,天津负面信息处理,非法网络公关
936,深圳负面信息处理,非法网络公关
937,广东负面信息处理,非法网络公关
938,山西负面信息处理,非法网络公关
939,郑州负面信息处理,非法网络公关
940,重庆负面信息处理,非法网络公关
941,出售11年高考考生信息,兜售考生信息
942,出售2011年全国高考生名单,兜售考生信息
943,2011年高考生名单,兜售考生信息
944,高考生名单出售,兜售考生信息
945,"高考生名单 QQ",兜售考生信息
946,"诚信名单公司 高考",兜售考生信息
947,出售高考名单,兜售考生信息
948,供应2011高考名单,兜售考生信息
949,2011考生名单出售,兜售考生信息
950,2011高考落榜名单,兜售考生信息
951,高考考生落榜名单出售,兜售考生信息
952,"高考落榜名单 QQ",兜售考生信息
953,出售北京高考落榜生名单,兜售考生信息
954,"出售考生信息 QQ",兜售考生信息
955,出售上海高考生信息,兜售考生信息
956,出售山西高考考生名单,兜售考生信息
957,收购高考考生信息,兜售考生信息
958,收购2011高考考生名单,兜售考生信息
959,销售落榜生名单,兜售考生信息
960,收购2011落榜生名单,兜售考生信息
